Date,Registration,Call Sign,Flight Direction,Marketing Airline Desc,Non-PA Airport,Body Type Desc,Gate,Terminal Code,Total Gate Occ Time,Arrival Runway,Block Schedule,Block Actual,Total Calculated Delay,Total  Movement Time,Total Ramp Time,Total Taxi Time Calc,On Scheduled,On Actual
2025-06-07 00:00:00,N8920Q,SWA869,Missed Approach,Southwest Airlines,HOU,Narrow Body,Gate_TB_56,Terminal B,,22-22,,,0,,,,2025-06-07 17:12:42,2025-06-07 17:17:00
2025-06-09 00:00:00,N7750A,SWA3759,Missed Approach,Southwest Airlines,DEN,Narrow Body,Gate_TB_57,Terminal B,,4-4,,,0,,,,2025-06-09 16:14:44,2025-06-09 16:25:00
2025-06-19 00:00:00,N7821L,SWA359,Missed Approach,Southwest Airlines,DEN,Narrow Body,Gate_TB_57,Terminal B,,22-22,,,0,,,,2025-06-19 11:52:00,2025-06-19 11:52:00
2025-06-20 00:00:00,N8915Q,SWA1143,Missed Approach,Southwest Airlines,BNA,Narrow Body,Gate_TB_48,Terminal B,,22,,,0,,,,2025-06-20 00:15:00,2025-06-20 00:12:00
2025-06-28 00:00:00,N8538V,SWA1189,Missed Approach,Southwest Airlines,STL,Narrow Body,Gate_TB_48,Terminal B,,22,,,0,,,,2025-06-28 16:47:00,2025-06-28 16:55:00
2025-07-14 00:00:00,N8517F,SWA416,Missed Approach,Southwest Airlines,ATL,Narrow Body,Gate_TB_54,Terminal B,,4,,,0,,,,2025-07-14 22:10:01,2025-07-14 23:33:00
2025-07-20 00:00:00,N8931L,SWA359,Missed Approach,Southwest Airlines,DEN,Narrow Body,Gate_TB_57,Terminal B,,22,,,0,,,,2025-07-20 13:02:00,2025-07-20 13:19:00
2025-07-30 00:00:00,N258WN,SWA1139,Missed Approach,Southwest Airlines,BNA,Narrow Body,Gate_TB_48,Terminal B,,4,,,0,,,,2025-07-30 21:03:00,2025-07-30 21:11:00
2025-07-30 00:00:00,N237WN,SWA697,Missed Approach,Southwest Airlines,DEN,Narrow Body,Gate_TB_57,Terminal B,,4,,,0,,,,2025-07-30 18:12:00,2025-07-30 20:18:00
2025-08-01 00:00:00,N254WN,SWA1142,Missed Approach,Southwest Airlines,BNA,Narrow Body,Gate_TB_57,Terminal B,,4,,,0,,,,2025-08-01 20:21:00,2025-08-01 21:11:00
2025-08-05 00:00:00,N8609A,SWA695,Missed Approach,Southwest Airlines,DAL,Narrow Body,Gate_TB_57,Terminal B,,4,,,0,,,,2025-08-05 16:52:42,2025-08-05 16:41:00
2025-08-10 00:00:00,N8640D,SWA3707,Missed Approach,Southwest Airlines,MDW,Narrow Body,Gate_TB_56,Terminal B,,22,,,0,,,,2025-08-10 14:37:00,2025-08-10 14:53:00
2025-08-20 00:00:00,N8321D,SWA1095,Missed Approach,Southwest Airlines,BNA,Narrow Body,Gate_TB_48,Terminal B,,4,,,0,,,,2025-08-20 14:37:00,2025-08-20 14:27:00
2025-08-20 00:00:00,N249WN,SWA653,Missed Approach,Southwest Airlines,STL,Narrow Body,Gate_TB_48,Terminal B,,4,,,0,,,,2025-08-20 20:41:00,2025-08-20 20:30:00
2025-05-26 00:00:00,N655NK,NKS2177,Missed Approach,Spirit Airlines,MIA,Narrow Body,Gate_TA_4,Terminal A,,22,,,0,,,,2025-05-26 17:17:00,2025-05-26 17:09:00
2025-05-31 00:00:00,N717NK,NKS2636,Missed Approach,Spirit Airlines,RIC,Narrow Body,Gate_TA_1,Terminal A,,31,,,0,,,,2025-05-31 12:49:00,2025-05-31 12:47:00
2025-06-07 00:00:00,N690NK,NKS2175,Missed Approach,Spirit Airlines,ORD,Narrow Body,Gate_TA_5,Terminal A,,4,,,0,,,,2025-06-07 08:47:00,2025-06-07 08:41:00
2025-06-11 00:00:00,N742NK,NKS2449,Missed Approach,Spirit Airlines,DFW,Narrow Body,Gate_TA_4,Terminal A,,22,,,0,,,,2025-06-11 14:47:00,2025-06-11 16:23:00
2025-06-12 00:00:00,N724NK,NKS2473,Missed Approach,Spirit Airlines,MYR,Narrow Body,Gate_TA_1,Terminal A,,22-22-31-31,,,0,,,,2025-06-12 22:03:00,2025-06-12 22:07:00
2025-06-22 00:00:00,N923NK,NKS2280,Missed Approach,Spirit Airlines,MCO,Narrow Body,Gate_TA_5,Terminal A,,22,,,0,,,,2025-06-22 19:21:00,2025-06-22 21:37:00
2025-06-28 00:00:00,N629NK,NKS2175,Missed Approach,Spirit Airlines,ORD,Narrow Body,Gate_TA_6,Terminal A,,4,,,0,,,,2025-06-28 08:49:00,2025-06-28 08:48:00
2025-07-13 00:00:00,N644NK,NKS1696,Missed Approach,Spirit Airlines,MYR,Narrow Body,Gate_TA_2,Terminal A,,22,,,0,,,,2025-07-13 23:59:00,2025-07-14 00:08:00
2025-07-19 00:00:00,N603NK,NKS1195,Missed Approach,Spirit Airlines,DTW,Narrow Body,Gate_TA_6,Terminal A,,13,,,0,,,,2025-07-19 10:19:00,2025-07-19 10:21:00
2025-08-07 00:00:00,N661NK,NKS1703,Missed Approach,Spirit Airlines,MCO,Narrow Body,Gate_TA_1,Terminal A,,22,,,0,,,,2025-08-07 22:58:00,2025-08-08 00:07:00
2025-08-08 00:00:00,N621NK,NKS1694,Missed Approach,Spirit Airlines,DFW,Narrow Body,Gate_TA_2,Terminal A,,22,,,0,,,,2025-08-08 14:05:00,2025-08-08 14:34:00
2025-08-10 00:00:00,N643NK,NKS1178,Missed Approach,Spirit Airlines,MIA,Narrow Body,Gate_TA_2,Terminal A,,22,,,0,,,,2025-08-10 17:17:00,2025-08-10 17:49:00
2025-06-01 00:00:00,N77538,UAL293,Missed Approach,United Airlines,ORD,Narrow Body,Gate_TB_43_43A,Terminal B,,22,,,0,,,,2025-06-01 14:06:00,2025-06-01 14:19:00
2025-06-01 00:00:00,N73276,UAL743,Missed Approach,United Airlines,ORD,Narrow Body,Gate_TB_45,Terminal B,,22,,,0,,,,2025-06-01 11:57:00,2025-06-01 11:51:00
2025-06-12 00:00:00,N47291,UAL598,Missed Approach,United Airlines,DEN,Narrow Body,Gate_TB_47,Terminal B,,22-22,,,0,,,,2025-06-12 17:14:00,2025-06-12 17:16:00
2025-06-23 00:00:00,N743YX,RPA3704,Missed Approach,United Airlines,IAD,Commuter,Gate_TB_45,Terminal B,,22,,,0,,,,2025-06-23 14:06:00,2025-06-23 13:41:00
2025-06-24 00:00:00,N754YX,RPA3497,Missed Approach,United Airlines,IAD,Commuter,Gate_TB_45,Terminal B,,22,,,0,,,,2025-06-24 18:38:00,2025-06-24 18:43:00
2025-06-24 00:00:00,N26232,UAL2181,Missed Approach,United Airlines,IAH,Narrow Body,Gate_TB_46,Terminal B,,22-22-31-31,,,0,,,,2025-06-24 16:44:00,2025-06-24 16:44:00
2025-06-25 00:00:00,N76508,UAL2140,Missed Approach,United Airlines,IAH,Narrow Body,Gate_TB_45,Terminal B,,4-4,,,0,,,,2025-06-25 20:53:00,2025-06-25 21:48:00
2025-07-09 00:00:00,N17321,UAL2395,Missed Approach,United Airlines,DEN,Narrow Body,Gate_TB_46,Terminal B,,31,,,0,,,,2025-07-09 14:01:00,2025-07-09 14:02:00
2025-07-17 00:00:00,N17355,UAL1373,Missed Approach,United Airlines,IAH,Narrow Body,Gate_TB_47,Terminal B,,31,,,0,,,,2025-07-16 23:14:00,2025-07-17 00:22:00
